INFO:
[rtm]
Execution completed successfully.
INFO:
List of objects imported:
Type,Name,Source Project,Target Project,Source Path,Target Path,Resolution,Renamed To
Folder,cms_purge1,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,TS_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_2,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_7,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM1,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM1,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_6,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM1,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_8,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM5,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_10,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM1,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_12,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_1,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM5,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_11,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_3,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_9,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_4,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,PP_RT_5,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,CC_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM5,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TS_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TP_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Reference Table,TL_RTM5,CLU_PROJECT,CLU_PROJECT,/cms_purge1,/cms_purge1,,
Folder,oie_import,CLU_PROJECT,CLU_PROJECT,/,/,,
Flat File Data Object,ALL_SOURCE_DQ,CLU_PROJECT,CLU_PROJECT,/oie_import,/oie_import,,
Folder,cms_purge,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,DELETE_THIS_RT_1,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Reference Table,DELETE_THIS_RT_2,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Reference Table,DELETE_THIS_RT_3,CLU_PROJECT,CLU_PROJECT,/cms_purge,/cms_purge,,
Folder,RTM_EXPORT,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,TS_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,TL_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,CC_RTM,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Reference Table,PP_RT_1,CLU_PROJECT,CLU_PROJECT,/RTM_EXPORT,/RTM_EXPORT,,
Folder,RTM_IMPORT,CLU_PROJECT,CLU_PROJECT,/,/,,
Flat File Data Object,ALL_SOURCE_DQ,CLU_PROJECT,CLU_PROJECT,/RTM_IMPORT,/RTM_IMPORT,,
Folder,cms_purge3,CLU_PROJECT,CLU_PROJECT,/,/,,
Reference Table,TP_RTM4,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM3,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TS_RTM8,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_8,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_10,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM11,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TS_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_9,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM5,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TL_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_12,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TL_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TS_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM6,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_1,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TL_RTM,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM7,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TS_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TL_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,PP_RT_11,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,CC_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TS_RTM9,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM10,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM2,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
Reference Table,TP_RTM1,CLU_PROJECT,CLU_PROJECT,/cms_purge3,/cms_purge3,,
